datetime,time,pr,pet
6/1/2009,1.24381E+12,3.585918099,247.96875
7/1/2009,1.24641E+12,0,272.025
8/1/2009,1.24908E+12,0,247.709375
9/1/2009,1.25176E+12,0,188.90625
10/1/2009,1.25436E+12,19.21793807,142.6
11/1/2009,1.25703E+12,5.78079924,95.53125
12/1/2009,1.25963E+12,34.04447234,37.00625
1/1/2010,1.2623E+12,83.71204138,66.90833333
2/1/2010,1.26498E+12,74.15367317,90.41666667
3/1/2010,1.2674E+12,29.94081587,130.5875
4/1/2010,1.27008E+12,40.22052884,144.5
5/1/2010,1.27267E+12,6.645596489,201.1125
6/1/2010,1.27535E+12,0,239.90625
7/1/2010,1.27794E+12,0,270.184375
8/1/2010,1.28062E+12,0,252.359375
9/1/2010,1.2833E+12,0,192.65625
10/1/2010,1.28589E+12,12.0882636,153.9666667
11/1/2010,1.28857E+12,35.14587164,99.5625
12/1/2010,1.29116E+12,110.1498063,84.21666667
1/1/2011,1.29384E+12,46.61283433,116.1208333
2/1/2011,1.29652E+12,26.49263906,104.8833333
3/1/2011,1.29894E+12,90.55201268,132.33125
4/1/2011,1.30162E+12,14.75280583,180.09375
5/1/2011,1.30421E+12,6.284934878,244.3833333
6/1/2011,1.30689E+12,3.470299691,260.0625
7/1/2011,1.30948E+12,0,268.440625
8/1/2011,1.31216E+12,0,254.78125
9/1/2011,1.31484E+12,0,205.78125
10/1/2011,1.31743E+12,11.41092685,140.371875
11/1/2011,1.32011E+12,34.36677933,84.125
12/1/2011,1.3227E+12,0,53.73333333
1/1/2012,1.32538E+12,27.7495892,67.29583333
2/1/2012,1.32805E+12,17.78170609,85.925
3/1/2012,1.33056E+12,57.89525521,139.984375
4/1/2012,1.33324E+12,39.93063211,208.875
5/1/2012,1.33583E+12,0,239.475
6/1/2012,1.33851E+12,0,254.90625
7/1/2012,1.3411E+12,0,266.115625
8/1/2012,1.34378E+12,0,243.059375
9/1/2012,1.34646E+12,0,193.5
10/1/2012,1.34905E+12,7.66773428,155.775
11/1/2012,1.35173E+12,23.85269701,119.90625
12/1/2012,1.35432E+12,31.96050906,92.41875
1/1/2013,1.357E+12,27.76954669,148.8
2/1/2013,1.35968E+12,15.47865367,95.55
3/1/2013,1.3621E+12,36.48224902,155.775
4/1/2013,1.36477E+12,7.718861103,196.75
5/1/2013,1.36737E+12,5.40343304,240.44375
6/1/2013,1.37004E+12,1.925802603,261.84375
7/1/2013,1.37264E+12,0,262.53125
8/1/2013,1.37532E+12,0,243.253125
9/1/2013,1.37799E+12,0,198.84375
10/1/2013,1.38059E+12,6.955448836,152.4166667
11/1/2013,1.38326E+12,14.54209596,97.03125
12/1/2013,1.38586E+12,5.90742138,53.475
1/1/2014,1.38853E+12,14.74013746,
2/1/2014,1.39121E+12,50.50204372,94.15
3/1/2014,1.39363E+12,41.94330442,164.009375
4/1/2014,1.39631E+12,18.34562123,187.25
5/1/2014,1.3989E+12,0,223.2
6/1/2014,1.40158E+12,0,248.90625
7/1/2014,1.40417E+12,0,263.596875
